neighbourhood,price per night,price per year
Kensington,149,54385
Midtown,225,82125
Harlem,150,54750
Clinton Hill,89,32485
East Harlem,80,29200
Murray Hill,200,73000
Bedford-Stuyvesant,60,21900
Hell's Kitchen,79,28835
Upper West Side,79,28835
Chinatown,150,54750
Upper West Side,135,49275
Hell's Kitchen,85,31025
South Slope,89,32485
Upper West Side,85,31025
West Village,120,43800
Williamsburg,140,51100
Fort Greene,215,78475
Chelsea,140,51100
Crown Heights,99,36135
East Harlem,190,69350
Williamsburg,299,109135
Park Slope,130,47450
Park Slope,80,29200
Park Slope,110,40150
Bedford-Stuyvesant,120,43800
Windsor Terrace,60,21900
Inwood,80,29200
Hell's Kitchen,150,54750
Inwood,44,16060
East Village,180,65700
Harlem,50,18250
Harlem,52,18980
Greenpoint,55,20075
Harlem,50,18250
Bedford-Stuyvesant,70,25550
South Slope,89,32485
Bedford-Stuyvesant,35,12775
Bushwick,85,31025
Flatbush,150,54750
Lower East Side,40,14600
East Village,68,24820
South Slope,120,43800
Fort Greene,120,43800
Upper West Side,135,49275
Harlem,150,54750
Prospect-Lefferts Gardens,150,54750
Long Island City,130,47450
Bedford-Stuyvesant,110,40150
Bedford-Stuyvesant,115,41975
Fort Greene,80,29200
Bedford-Stuyvesant,80,29200
Upper West Side,151,55115
Williamsburg,228,83220
Greenpoint,144,52560
Kips Bay,200,73000
Williamsburg,150,54750
Lower East Side,110,40150
Hell's Kitchen,69,25185
Greenpoint,49,17885
SoHo,180,65700
Williamsburg,80,29200
Chelsea,375,136875
Upper East Side,250,91250
Prospect Heights,200,73000
Clinton Hill,55,20075
Hell's Kitchen,52,18980
Park Slope,225,82125
East Village,80,29200
Williamsburg,275,100375
East Village,99,36135
East Harlem,225,82125
East Village,230,83950
Hell's Kitchen,51,18615
Washington Heights,65,23725
Clinton Hill,105,38325
East Village,190,69350
Upper East Side,200,73000
Woodside,70,25550
Fort Greene,95,34675
Chelsea,150,54750
Williamsburg,145,52925
Harlem,110,40150
Lower East Side,285,104025
Flatbush,130,47450
Lower East Side,94,34310
Brooklyn Heights,800,292000
Williamsburg,105,38325
East Village,60,21900
East Village,50,18250
Williamsburg,85,31025
Bushwick,65,23725
Prospect Heights,131,47815
Clinton Hill,98,35770
Prospect Heights,250,91250
Williamsburg,100,36500
Bushwick,105,38325
Upper West Side,140,51100
Harlem,89,32485
Chelsea,98,35770
Bedford-Stuyvesant,125,45625
Harlem,60,21900
Carroll Gardens,175,63875
Washington Heights,65,23725
West Village,500,182500
Williamsburg,101,36865
Park Slope,220,80300
Bedford-Stuyvesant,125,45625
Williamsburg,80,29200
Harlem,100,36500
Gowanus,200,73000
Hell's Kitchen,59,21535
Clinton Hill,125,45625
East Village,140,51100
South Slope,120,43800
East Village,350,127750
Kips Bay,199,72635
Williamsburg,325,118625
Upper West Side,235,85775
East Village,225,82125
South Slope,99,36135
Harlem,170,62050
South Slope,400,146000
Upper West Side,170,62050
East Village,100,36500
Prospect-Lefferts Gardens,75,27375
Williamsburg,90,32850
Upper East Side,150,54750
Washington Heights,85,31025
